0.00853467,-0.00541676,0.00834196,0.00692786,0.0069283,0.00692795,0.999928
0.0144686,-0.0136003,0.0137377,0.0124694,0.0124703,0.0124696,0.999767
0.0177622,-0.0245487,0.0162246,0.0166249,0.0166262,0.0166251,0.999585
0.0183774,-0.0382622,0.0158412,0.0193946,0.0193964,0.019395,0.999436
0.0162765,-0.0547425,0.012627,0.0207792,0.0207814,0.0207797,0.999352
0.0114227,-0.0739926,0.00662157,0.0207791,0.0207817,0.0207796,0.999352
0.00377921,-0.0960156,-0.00213519,0.0193941,0.0193972,0.0193947,0.999436
-0.00669086,-0.120814,-0.0136035,0.016624,0.0166275,0.0166247,0.999585
-0.020025,-0.14839,-0.0277442,0.0124682,0.0124722,0.0124691,0.999767
-0.0362615,-0.178744,-0.0445186,0.00692622,0.00693066,0.00692724,0.999928
-0.0554398,-0.211874,-0.0638892,-2.01711e-06,2.87475e-06,-8.57704e-07,1
-0.0738911,-0.241791,-0.0821807,-0.00693022,-0.00692495,-0.00692894,0.999928
-0.0917118,-0.269028,-0.0996016,-0.0138574,-0.0138518,-0.013856,0.999712
-0.108986,-0.294029,-0.11632,-0.0207826,-0.0207767,-0.0207811,0.999352
-0.125786,-0.317164,-0.132474,-0.0277047,-0.0276987,-0.0277031,0.998848
-0.142178,-0.338745,-0.148172,-0.0346229,-0.0346166,-0.0346212,0.998201
-0.158214,-0.359029,-0.163503,-0.0415361,-0.0415296,-0.0415343,0.997409
-0.173945,-0.378233,-0.17854,-0.0484432,-0.0484367,-0.0484413,0.996474
-0.189412,-0.396538,-0.193341,-0.0553434,-0.0553367,-0.0553414,0.995396
-0.204651,-0.414092,-0.207951,-0.0622356,-0.0622288,-0.0622336,0.994174
-0.219694,-0.431023,-0.22241,-0.0691189,-0.069112,-0.0691167,0.992809
-0.234568,-0.447434,-0.236746,-0.0759922,-0.0759852,-0.0759899,0.991301
-0.249296,-0.463413,-0.250985,-0.0828545,-0.0828475,-0.0828522,0.98965
-0.263899,-0.479032,-0.265146,-0.0897049,-0.0896979,-0.0897025,0.987857
-0.278395,-0.494353,-0.279245,-0.0965424,-0.0965353,-0.0965399,0.985921
-0.292798,-0.509424,-0.293294,-0.103366,-0.103359,-0.103363,0.983844
-0.307122,-0.524289,-0.307303,-0.110175,-0.110168,-0.110172,0.981625
-0.321378,-0.538982,-0.32128,-0.116968,-0.11696,-0.116965,0.979264
-0.335576,-0.553532,-0.335232,-0.123744,-0.123736,-0.123741,0.976763
-0.349724,-0.567964,-0.349165,-0.130502,-0.130494,-0.130499,0.97412
-0.363828,-0.582297,-0.363081,-0.137241,-0.137234,-0.137238,0.971338
-0.377897,-0.596549,-0.376985,-0.143961,-0.143953,-0.143958,0.968416
-0.391934,-0.610732,-0.390879,-0.15066,-0.150652,-0.150656,0.965354
-0.405944,-0.62486,-0.404764,-0.157337,-0.157329,-0.157334,0.962153
-0.419932,-0.638941,-0.418644,-0.163991,-0.163984,-0.163988,0.958814
-0.4339,-0.652983,-0.432519,-0.170622,-0.170615,-0.170619,0.955336
-0.447851,-0.666993,-0.446389,-0.177229,-0.177221,-0.177225,0.951722
-0.461788,-0.680977,-0.460257,-0.183809,-0.183802,-0.183806,0.94797
-0.475713,-0.694939,-0.474122,-0.190364,-0.190356,-0.19036,0.944081
